		CHAMBER	THROAT	EXIT	EXIT	EXIT	EXIT					
Pinf/P		1	1.723	1282.54	1637.76	2046.24	3614.3					
"P,"	BAR	7.5	4.3528	0.00585	0.00458	0.00367	0.00208					
"T,"	K	3185.27	3042.87	1340.95	1282.57	1231.5	1109.81					
"RHO,"	KG/CU	7.4290-1	4.5756-1	1.5064-3	1.2334-3	1.0281-3	6.4590-4					
"H,"	KJ/KG	-337.69	-870.91	-5256.96	-5349.79	-5430.81	-5623.43					
"U,"	KJ/KG	-1347.25	-1822.22	-5645.15	-5721.07	-5787.31	-5944.7					
"G,"	KJ/KG	-34316.7	-33330.9	-19561.6	-19031.7	-18567.9	-17462.4					
"S,"	KJ/(KG)(K)	10.6675	10.6675	10.6675	10.6675	10.6675	10.6675					
												
"M,"	(1/n)	26.233	26.595	28.722	28.722	28.722	28.722					
(dLV/dLP)t		-1.03609	-1.03237	-1	-1	-1	-1					
(dLV/dLT)p		1.7267	1.685	1.0001	1	1	1					
"Cp,"	KJ/(KG)(K)	6.4426	6.3258	1.5924	1.5879	1.5849	1.5819					
GAMMAs		1.1243	1.121	1.2222	1.223	1.2235	1.224					
SON	"VEL,M/SEC"	1065.4	1032.7	688.8	673.8	660.4	627.1					
MACH	NUMBER	0	1	4.554	4.699	4.833	5.185					
												
PERFORMANCE	PARAMETERS											
												
Ae/At			1	100	121	144	225					
"CSTAR,"	M/SEC		1587.3	1587.3	1587.3	1587.3	1587.3					
CF			0.6506	1.9761	1.9947	2.0108	2.0484					
"Ivac,"	M/SEC		1953.9	3260.4	3283.4	3303.3	3350.2					
"Isp,"	M/SEC		1032.7	3136.6	3166.1	3191.6	3251.4					
												
												
AeAt	CF	Thrust	Pc	At	Ae	rt	re	P	T	Son Vel	Mach	Vel
100	1.9761	5500	7.50E+05	3.71E-03	3.71E-01	1.94E-02	1.94E-01	0.00585	1340.95	688.8	4.554	3136.7952
121	1.9947	5500	7.50E+05	3.68E-03	4.45E-01	1.93E-02	2.12E-01	0.00458	1282.57	673.8	4.699	3166.1862
144	2.0108	5500	7.50E+05	3.65E-03	5.25E-01	1.92E-02	2.31E-01	0.00367	1231.5	660.4	4.833	3191.7132
225	2.0484	5500	7.50E+05	3.58E-03	8.06E-01	1.90E-02	2.86E-01	0.00208	1109.81	627.1	5.185	3251.5135
