														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
		CHAMBER	THROAT	EXIT	EXIT	EXIT	EXIT	EXIT	EXIT	EXIT	EXIT	EXIT	EXIT	EXIT
Pinf/P		1	1.7251	1318.6	352.14	218.69	121.72	57.284	19.723	13.337	10.332	7.4686	4.7547	3.431
"P,"	BAR	15	8.695	0.01138	0.0426	0.06859	0.12323	0.26185	0.76054	1.1246	1.4518	2.0084	3.1548	4.3719
"T,"	K	3264.6	3112.65	1318.99	1672.65	1817.99	2005.31	2237.59	2513.18	2606.2	2666.54	2743.6	2852.75	2933.76
"RHO,"	KG/CU M	1.4599	8.9954-1	2.9793-3	8.7967-3	1.3030-2	2.1206-2	4.0225-2	1.0257-1	1.4525-1	1.8237-1	2.4361-1	3.6450-1	4.8763-1
"H,"	KJ/KG	-337.69	-881.14	-5291.92	-4722.55	-4481.93	-4157.58	-3692.97	-2950.06	-2653.59	-2453.1	-2190.18	-1808.68	-1521.26
"U,"	KJ/KG	-1365.13	-1847.74	-5673.75	-5206.8	-5008.35	-4738.7	-4343.95	-3691.55	-3427.88	-3249.19	-3014.63	-2674.18	-2417.82
"G,"	KJ/KG	-34448.3	-33404	-19073.6	-22199.4	-23477.5	-25110.3	-27072.7	-29209.4	-29884.7	-30314.7	-30857	-31616	-32175
"S,"	KJ/(KG)(K)	10.4486	10.4486	10.4486	10.4486	10.4486	10.4486	10.4486	10.4486	10.4486	10.4486	10.4486	10.4486	10.4486
														
"M,"	(1/n)	26.419	26.774	28.722	28.72	28.714	28.691	28.579	28.181	27.986	27.85	27.669	27.405	27.207
(dLV/dLP)t		-1.03358	-1.0299	-1	-1.00004	-1.00013	-1.00059	-1.00309	-1.01118	-1.01446	-1.01655	-1.01914	-1.02261	-1.02503
(dLV/dLT)p		1.6635	1.6223	1	1.0014	1.0045	1.0189	1.0912	1.293	1.3644	1.407	1.4565	1.5171	1.5553
"Cp,"	KJ/(KG)(K)	5.9302	5.8136	1.5904	1.639	1.6862	1.84	2.4764	3.9941	4.469	4.7359	5.0283	5.3559	5.5417
GAMMAs		1.1277	1.1244	1.2225	1.2152	1.2094	1.1946	1.1585	1.1265	1.1227	1.1214	1.1206	1.1208	1.1215
SON	"VEL,M/SEC"	1076.4	1042.5	683.2	767.1	797.9	833.2	868.4	914	932.4	944.8	961.2	984.9	1002.8
MACH	NUMBER	0	1	4.607	3.86	3.608	3.317	2.983	2.501	2.308	2.177	2.003	1.742	1.534
														
PERFORMANCE	PARAMETERS													
														
Ae/At			1	100	36	25	16	9	4	3	2.5	2	1.5	1.25
"CSTAR,"	M/SEC		1599.5	1599.5	1599.5	1599.5	1599.5	1599.5	1599.5	1599.5	1599.5	1599.5	1599.5	1599.5
CF			0.6518	1.968	1.8515	1.7999	1.7281	1.6196	1.4291	1.3455	1.286	1.2034	1.0724	0.9619
"Ivac,"	M/SEC		1969.7	3269.1	3124.9	3061.8	2974.3	2841.8	2610.2	2511.9	2443.9	2353.2	2219.8	2121.3
"Isp,"	M/SEC		1042.5	3147.8	2961.4	2879	2764	2590.5	2285.8	2152.2	2056.9	1924.8	1715.2	1538.6
														
														
AeAt	CF	Thrust	Pc	At	Ae	rt	re	P	T	Sonic Vel	Mach	Vel		
100	1.968	5500	1.50E+06	1.86E-03	1.86E-01	2.44E-02	2.44E-01	0.01138	1318.99	683.2	4.607	3147.5024		
36	1.8515	5500	1.50E+06	1.98E-03	7.13E-02	2.51E-02	1.51E-01	0.0426	1672.65	767.1	3.86	2961.006		
25	1.7999	5500	1.50E+06	2.04E-03	5.09E-02	2.55E-02	1.27E-01	0.06859	1817.99	797.9	3.608	2878.8232		
16	1.7281	5500	1.50E+06	2.12E-03	3.39E-02	2.60E-02	1.04E-01	0.12323	2005.31	833.2	3.317	2763.7244		
9	1.6196	5500	1.50E+06	2.26E-03	2.04E-02	2.68E-02	8.05E-02	0.26185	2237.59	868.4	2.983	2590.4372		
4	1.4291	5500	1.50E+06	2.57E-03	1.03E-02	2.86E-02	5.72E-02	0.76054	2513.18	914	2.501	2285.914		
3	1.3455	5500	1.50E+06	2.73E-03	8.18E-03	2.95E-02	5.10E-02	1.1246	2606.2	932.4	2.308	2151.9792		
2.5	1.286	5500	1.50E+06	2.85E-03	7.13E-03	3.01E-02	4.76E-02	1.4518	2666.54	944.8	2.177	2056.8296		
2	1.2034	5500	1.50E+06	3.05E-03	6.09E-03	3.11E-02	4.40E-02	2.0084	2743.6	961.2	2.003	1925.2836		
1.5	1.0724	5500	1.50E+06	3.42E-03	5.13E-03	3.30E-02	4.04E-02	3.1548	2852.75	984.9	1.742	1715.6958		
1.25	0.9619	5500	1.50E+06	3.81E-03	4.76E-03	3.48E-02	3.89E-02	4.3719	2933.76	1002.8	1.534	1538.2952		
